"";"Description"
"1";NA
"2";"Firefighters closed the containment lines today. Large scale demobilization of incident resources continues.
Command of the incident will be turned over to Riverside County effective Tuesday August 8th. Silent Valley RV Club remains
closed. For questions regarding the closure, please the Silent Valley RV Club."
"3";"Crews are containing the mop up in the area."
"4";NA
"5";NA
"6";NA
"7";NA
"8";NA
"9";NA
"10";NA
"11";NA
"12";NA
"13";NA
"14";NA
"15";NA
"16";"Go to Administrative Unit Link for full description."
"17";NA
"18";NA
"19";NA
"20";NA
"21";NA
"22";NA
"23";NA
"24";NA
"25";NA
"26";NA
"27";NA
"28";NA
"29";NA
"30";NA
"31";NA
"32";NA
"33";NA
"34";NA
"35";NA
"36";NA
"37";NA
"38";NA
"39";NA
"40";NA
"41";NA
"42";NA
"43";NA
"44";NA
"45";NA
"46";NA
"47";NA
"48";NA
"49";NA
"50";NA
"51";NA
"52";NA
"53";NA
"54";NA
"55";NA
"56";NA
"57";NA
"58";NA
"59";NA
"60";NA
"61";NA
"62";NA
"63";NA
"64";NA
"65";NA
"66";NA
"67";NA
"68";NA
"69";NA
"70";NA
"71";NA
"72";NA
"73";NA
"74";NA
"75";NA
"76";NA
"77";NA
"78";NA
"79";NA
"80";NA
"81";NA
"82";NA
"83";NA
"84";NA
"85";NA
"86";NA
"87";NA
"88";NA
"89";NA
"90";NA
"91";NA
"92";NA
"93";NA
"94";NA
"95";NA
"96";NA
"97";NA
"98";NA
"99";NA
"100";NA
"101";NA
"102";NA
"103";NA
"104";NA
"105";NA
"106";NA
"107";NA
"108";NA
"109";NA
"110";NA
"111";NA
"112";NA
"113";NA
"114";"For evacuation and road closure information
<a href=""http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4517""> click here</a>"
"115";"Mandatory evacuations and road closures are in place:
 <a href=""http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4523""> http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4523</a>"
"116";NA
"117";NA
"118";"<p> Firefighters continued patrol status and will continue containment and mop up operations for the next several days. Additionally firefighters are continuing suppression repair activities in the area. Please continue to be cautious while driving in the area as fire apparatus will remain working in the area.</p>

<p>For the latest evacuation information:  <a href=""http://rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4504"">Tenaja Incident Information</a></p>

<p><a href=""https://countyofriverside.maps.arcgis.com/apps/webappviewer/index.html?id=0b92d93e12d34bf29b8c0d5e28b95815"">Interactive Evacuation Map</a></p>"
"119";NA
"120";"All evacuation orders have been lifted.

<p>Ground resources continue to mop-up and strengthen control lines. Motorists should drive with caution in the fire area and yield to fire personnel and apparatus."
"121";NA
"122";NA
"123";"Forward progress has been stopped. No injuries and no structure damage. Crews will continue reinforcing fire lines and mopping-up isolated hot spots."
"124";"Resources will remain on scene working on full containment."
"125";NA
"126";NA
"127";NA
"128";NA
"129";NA
"130";NA
"131";"Final acreage was from 50 acres to 80 acres due to more accurate mapping."
"132";NA
"133";NA
"134";NA
"135";NA
"136";NA
"137";NA
"138";NA
"139";NA
"140";NA
"141";NA
"142";NA
"143";NA
"144";NA
"145";NA
"146";"As of 10:00 p.m. on 10/16, the fire is 90% contained and has been TURNED OVER TO THE BUREAU OF INDIAN AFFAIRS. This will be the final update provided by CAL FIRE/Riverside County Fire Department. the Torres-Martinez Indian Reservation."
